osisID,text,type,n,lang,after,lemma,morph,id,pos,gender,number,state,stem,x,y,geometry,status,gloss,repeatedRoot,participant,semanticRole
Ps.21.1,לַ,,190210010011,H,,l,Rd,,preposition,,,,,0.0,0,POINT (0 0),preferred,,8.0,,
Ps.21.1,,definite article,190210010011ה,H,,d,Td,,particle,,,,,-0.30000000000000004,0,POINT (-0.3 0),preferred,,2.0,,
Ps.21.1,מְנַצֵּ֗חַ,participle active,190210010012,H, ,5329,Vprmsa,,verb,masculine,singular,absolute,piel,-0.4,0,POINT (-0.4 0),preferred,,,,
Ps.21.1,מִזְמ֥וֹר,common,190210010021,H, ,4210,Ncmsa,19f29,noun,masculine,singular,absolute,,-1.5,0,POINT (-1.5 0),preferred,,,,
Ps.21.1,לְ,,190210010031,H,,l,R,,preposition,,,,,-2.5,0,POINT (-2.5 0),preferred,,8.0,,
Ps.21.1,דָוִֽד,proper,190210010032,H,׃,1732,Np,,noun,,,,,-2.8000000000000003,0,POINT (-2.8000000000000003 0),preferred,,,,
Ps.21.2,יְֽהוָ֗ה,proper,190210020011,H, ,3068,Np,193zy,noun,,,,,0.0,-1,POINT (0 -1),preferred,,4.0,,
Ps.21.2,בְּ,,190210020021,H,,b,R,,preposition,,,,,-0.9,-1,POINT (-0.9 -1),preferred,,9.0,,
Ps.21.2,עָזְּ,common,190210020022,H,,5797,Ncmsc,,noun,masculine,singular,construct,,-1.3,-1,POINT (-1.3 -1),preferred,,2.0,,
Ps.21.2,ךָ֥,pronominal,190210020023,H, ,,Sp2ms,,suffix,masculine,singular,,,-1.9000000000000001,-1,POINT (-1.9000000000000001 -1),preferred,,,,
Ps.21.2,יִשְׂמַח,yiqtol,190210020031,H,־,8055,Vqi3ms,192Bp,verb,masculine,singular,,qal,-2.3000000000000003,-1,POINT (-2.3000000000000003 -1),preferred,,,,
Ps.21.2,מֶ֑לֶךְ,common,190210020041,H, ,4428,Ncmsa,19YVx,noun,masculine,singular,absolute,,-3.2000000000000006,-1,POINT (-3.2000000000000006 -1),preferred,,2.0,,
Ps.21.2,וּ֝,,190210020051,H,,c,C,,conjunction,,,,,-4.0,-1,POINT (-4 -1),preferred,,8.0,,
Ps.21.2,בִ,,190210020052,H,,b,R,,preposition,,,,,-4.3999999999999995,-1,POINT (-4.3999999999999995 -1),preferred,,9.0,,
Ps.21.2,ישׁ֥וּעָתְ,common,190210020053,H,,3444,Ncfsc,,noun,feminine,singular,construct,,-4.699999999999999,-1,POINT (-4.699999999999999 -1),preferred,,2.0,,
Ps.21.2,ךָ֗,pronominal,190210020054,H, ,,Sp2ms,,suffix,masculine,singular,,,-5.799999999999999,-1,POINT (-5.799999999999999 -1),preferred,,,,
Ps.21.2,מַה,interrogative,190210020061,H,־,4100,Ti,19kav,particle,,,,,-6.199999999999998,-1,POINT (-6.199999999999998 -1),preferred,,,,
Ps.21.2,יָּ֥גֶל,yiqtol,190210020081,H,,1523,Vqi3ms,19vBq,verb,masculine,singular,,qal,-6.599999999999998,-1,POINT (-6.599999999999998 -1),preferred,,,,
Ps.21.2,מְאֹֽד,,190210020091,H,׃,3966,D,19xhr,adverb,,,,,-7.399999999999998,-1,POINT (-7.399999999999998 -1),preferred,,,,
Ps.21.3,תַּאֲוַ֣ת,common,190210030011,H, ,8378,Ncfsc,1992H,noun,feminine,singular,construct,,0.0,-2,POINT (0 -2),preferred,,,,
Ps.21.3,לִ֭בּ,common,190210030021,H,,3820 a,Ncmsc,,noun,masculine,singular,construct,,-1.0,-2,POINT (-1 -2),preferred,,,,
Ps.21.3,וֹ,pronominal,190210030022,H, ,,Sp3ms,,suffix,masculine,singular,,,-1.6,-2,POINT (-1.6 -2),preferred,,,,
